time,turn,box,behind,grade,comments,distance,raceDate,dogName,start,schedule,weight,raceNumber,track,stretch,finish
31.7,7,5,11.0,D,Blocked 1st Turn-insid,550,2018-02-02,Superior Sky,6,E,69.5,11,DerbyLane,5,7
37.86,1,3,0.75,C,Overtaken-placed-insid,660,2018-02-02,Faune Drake,2,A,59.5,15,DerbyLane,1,2
37.91,6,8,1.5,C,From Far Back-showed-r,660,2018-02-02,Barts Manning,7,A,67.0,15,DerbyLane,6,3
38.03,3,6,3.0,C,Quick Start-outfinishe,660,2018-02-02,Kelsos Redhacker,1,A,74.0,15,DerbyLane,3,4
38.19,4,5,5.5,C,Swung Wide Early-outs,660,2018-02-02,Jiminy Nancy,5,A,67.0,15,DerbyLane,4,5
38.31,5,2,7.0,C,Close Qtrs Early-bumpe,660,2018-02-02,Jr's Dasher,6,A,83.0,15,DerbyLane,5,6
38.53,7,4,10.0,C,Bumped Wide Early-fade,660,2018-02-02,Fiesta Fossil,3,A,72.5,15,DerbyLane,7,7
32.03,8,7,15.0,D,Weakened Backstretch,550,2018-02-02,Cobi's Potts,2,E,66.5,11,DerbyLane,2,8
30.41,1,4,4.0,A,Lengthening Lead-midtr,550,2018-02-02,Stacie Clark,1,E,68.0,12,DerbyLane,1,1
30.7,4,6,4.0,A,Stretch Gain-placed-mi,550,2018-02-02,Wall Nut,4,E,67.0,12,DerbyLane,4,2
30.75,2,7,5.0,A,Held On To Show-inside,550,2018-02-02,Lk's Good Golly,2,E,64.0,12,DerbyLane,2,3
30.77,5,2,5.0,A,Almost Up Fo Show-rail,550,2018-02-02,I Like Big Bucks,6,E,70.0,12,DerbyLane,5,4
30.82,3,1,6.0,A,Weakened In Stretch,550,2018-02-02,Kaias Pogo,3,E,81.5,12,DerbyLane,3,5
31.04,6,5,9.0,A,Swung Wide 2nd Turn,550,2018-02-02,Barts Slim Shady,5,E,70.0,12,DerbyLane,6,6
31.2,7,8,11.0,A,Off Last-bumped 1st Tn,550,2018-02-02,Pj Tropicthunder,8,E,75.0,12,DerbyLane,7,7
31.26,8,3,12.0,A,Bumped 1st Turn-faded,550,2018-02-02,Becca Bowman,7,E,70.5,12,DerbyLane,8,8
38.12,1,2,0.75,D,Dictated Pace-inside,660,2018-02-02,Yolo Slate,1,E,63.0,13,DerbyLane,1,1
38.18,6,3,0.75,D,Placed  Dspt Early Trb,660,2018-02-02,Bella Salem,3,E,68.0,13,DerbyLane,6,2
38.21,2,8,1.0,D,Outfinished-held Show,660,2018-02-02,Flyin Upsidedown,7,E,74.5,13,DerbyLane,4,3
38.22,5,7,1.5,D,Almost Up Fo Show-wide,660,2018-02-02,Bella Blossom,4,E,63.0,13,DerbyLane,5,4
38.26,3,5,2.0,D,Weakened In Stretch-ra,660,2018-02-02,Fiesta Dewey,2,E,72.5,13,DerbyLane,3,5
38.58,7,4,6.5,D,No Room Early-inside,660,2018-02-02,Rs Axel Rod,6,E,68.5,13,DerbyLane,7,6
38.63,4,6,7.0,D,Stumbled Far Turn-midt,660,2018-02-02,Tnt Herky Jerky,5,E,56.5,13,DerbyLane,2,7
30.72,1,3,1.5,C,On Top Early-inside,550,2018-02-02,Ultra Koopa,2,E,69.0,14,DerbyLane,1,1
30.82,2,2,1.5,C,Barely Held Place-rail,550,2018-02-02,Slatex Adidas,6,E,72.0,14,DerbyLane,2,2
30.83,3,4,1.5,C,Almost Up For Place-mi,550,2018-02-02,Prm Remington,3,E,68.5,14,DerbyLane,4,3
31.13,4,7,6.0,C,Quick Start-crowded-md,550,2018-02-02,Joe Bravo,1,E,81.5,14,DerbyLane,3,4
31.21,5,5,7.0,C,Sought Rail Early-blck,550,2018-02-02,Lk's All Aboard,4,E,61.5,14,DerbyLane,5,5
31.22,6,8,7.0,C,Took Outside Route,550,2018-02-02,Ctw China Taylor,5,E,60.5,14,DerbyLane,6,6
31.25,7,1,7.5,C,Slow Start-blocked 1st,550,2018-02-02,Bella Blue,8,E,77.0,14,DerbyLane,7,7
31.61,8,6,12.0,C,Shut Off 1st Turn-fade,550,2018-02-02,Braska Baffle,7,E,79.5,14,DerbyLane,8,8
30.7,2,1,2.0,C,Drove Thru On Rail,550,2018-02-02,Se's Road Block,2,E,71.5,15,DerbyLane,2,1
30.84,3,2,2.0,C,Belated Drive-placed-m,550,2018-02-02,Ctw Chogan,4,E,72.0,15,DerbyLane,4,2
30.88,1,6,2.5,C,Overtaken-showed-ins,550,2018-02-02,Pj Goodasitgets,1,E,76.5,15,DerbyLane,1,3
31.06,4,4,5.0,C,Sought Rail 1st-crowde,550,2018-02-02,Kiowa Ultra,5,E,64.0,15,DerbyLane,5,4
31.18,7,7,7.0,C,Slow Start-swung Wd 1s,550,2018-02-02,Lk's Glory Days,8,E,55.0,15,DerbyLane,7,5
31.23,5,3,7.5,C,Wide Backstretch-wknd,550,2018-02-02,Cbj Goose,3,E,80.0,15,DerbyLane,3,6
31.27,6,5,8.0,C,Cut In Early-crowded 1,550,2018-02-02,Kentucky Fly,7,E,72.5,15,DerbyLane,6,7
92.0,0,8,0.0,C,Stumbled 1st-pulled Up,550,2018-02-02,Windy Manny,6,E,65.5,15,DerbyLane,8,8
